action_id,priority,job_id,job_name,site,blocker,next_action,responsible_role,assignee,needed_by,status,last_updated,lookahead_bucket,escalation_flag,blocking_flag,project_phase,planned_start_date,constraint_category,reason_code,source_field
A-J052-01,Low,J052,Paver Patio 052,"Quincy, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-31,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-02,Site constraint,ACCESS_RISK,risk_drivers
A-J052-03,Low,J052,Paver Patio 052,"Quincy, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-07-31,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-02,Site constraint,DEMO,risk_drivers
A-J055-03,Low,J055,Paver Patio 055,"Quincy, MA",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-07-31,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-02,Site constraint,SIZE,risk_drivers
A-J057-02,Low,J057,Paver Patio 057,"Pawtucket, RI",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-07-31,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-02,Site constraint,ACCESS_RISK,risk_drivers
A-J019-03,Low,J019,Walkway 019,"Cranston, RI",Long material carry may affect labor,Review labor and staging plan,Foreman / Crew Lead,Unassigned,2026-08-01,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-03,Site constraint,CARRY,risk_drivers
A-J021-03,Low,J021,Paver Patio 021,"Newport, RI",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-08-01,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-03,Site constraint,DEMO,risk_drivers
A-J036-02,Low,J036,Paver Patio 036,"Cranston, RI",Large job footprint needs production review,"Confirm crew, equipment, and duration assumptions",Operations Manager,Unassigned,2026-08-01,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-03,Site constraint,SIZE,risk_drivers
A-J013-03,Low,J013,Walkway 013,"Boston, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-08-02,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-04,Site constraint,DEMO,risk_drivers
A-J022-02,Low,J022,Paver Patio 022,"Weymouth, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-08-02,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-04,Site constraint,ACCESS_RISK,risk_drivers
A-J006-02,Low,J006,Paver Patio 006,"Boston, MA",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-08-03,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-05,Site constraint,ACCESS_RISK,risk_drivers
A-J006-03,Low,J006,Paver Patio 006,"Boston, MA",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-08-03,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-05,Site constraint,SLOPE,risk_drivers
A-J006-05,Low,J006,Paver Patio 006,"Boston, MA",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-08-03,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-05,Site constraint,DEMO,risk_drivers
A-J047-04,Low,J047,Paver Patio 047,"Newport, RI",Medium slope may reduce productivity,Review grade and labor allowance in the field plan,Project Manager,Unassigned,2026-08-03,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-05,Site constraint,SLOPE,risk_drivers
A-J050-03,Low,J050,Paver Patio 050,"Cranston, RI",Narrow site access,Confirm equipment path and material staging,Foreman / Crew Lead,Unassigned,2026-08-03,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-05,Site constraint,ACCESS_RISK,risk_drivers
A-J050-04,Low,J050,Paver Patio 050,"Cranston, RI",Demolition scope must be confirmed,"Confirm demolition, disposal, and haul-off scope",Estimator / Owner,Unassigned,2026-08-03,Open,2026-07-15,Later,No,No,Preconstruction,2026-08-05,Site constraint,DEMO,risk_drivers
